tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),Activity
0.28858451,-0.020294171,-0.13290514,-0.9952786,-0.98311061,-0.91352645,-0.0061008489,-0.031364791,0.1077254,-0.98531027,-0.97662344,-0.99220528,0.077996345,0.0050008031,-0.067830808,-0.99351906,-0.98835999,-0.99357497,-0.99478319,-0.9829841,-0.93926865,-0.99542175,-0.98313297,-0.90616498,-0.98657442,-0.98176153,-0.98951478,-0.98503264,-0.97388607,-0.99403493,-0.95943388,-0.9505515,-0.96895908,-0.96433518,STANDING
0.27841883,-0.016410568,-0.12352019,-0.99824528,-0.97530022,-0.96032199,-0.01611162,-0.083893777,0.10058429,-0.98311996,-0.9890458,-0.98912123,0.074006709,0.0057711041,0.029376633,-0.99554814,-0.98106363,-0.9918457,-0.99745072,-0.97685173,-0.97352267,-0.99868026,-0.97492981,-0.95543811,-0.97738671,-0.99253003,-0.98960578,-0.98490434,-0.98716807,-0.98978468,-0.97928915,-0.97605707,-0.98068314,-0.98375419,STANDING
0.27965306,-0.019467156,-0.11346169,-0.99537956,-0.96718701,-0.97894396,-0.031698294,-0.10233542,0.096126876,-0.97629211,-0.99355182,-0.98637871,0.073635962,0.0031040366,-0.0090456308,-0.99074281,-0.98095561,-0.98968664,-0.99359409,-0.97251146,-0.98330396,-0.99631281,-0.96550593,-0.97704932,-0.97543322,-0.99371467,-0.9867557,-0.97664224,-0.99339895,-0.98732821,-0.98370313,-0.98801962,-0.97631707,-0.98605146,STANDING
0.27917394,-0.026200646,-0.12328257,-0.99609149,-0.9834027,-0.9906751,-0.043409983,-0.091386182,0.085537699,-0.9913848,-0.99240732,-0.98755418,0.077320614,0.020057642,-0.0098647722,-0.99269737,-0.98755275,-0.99349757,-0.99549062,-0.98356972,-0.99107978,-0.99631211,-0.98324437,-0.99022911,-0.98710958,-0.99360151,-0.98719126,-0.99281036,-0.99164605,-0.98867764,-0.98654176,-0.98642135,-0.98205988,-0.98735112,STANDING
0.27662877,-0.016569655,-0.11536185,-0.99813862,-0.98081727,-0.99048163,-0.033960416,-0.074708034,0.077392035,-0.98518357,-0.99237812,-0.98740185,0.073444363,0.019121574,0.016779979,-0.99642017,-0.98835871,-0.9924549,-0.99728592,-0.98230099,-0.98836944,-0.99860647,-0.98012947,-0.99191496,-0.98244648,-0.9929838,-0.98866644,-0.98598182,-0.99195582,-0.98794433,-0.99282715,-0.99127536,-0.98520373,-0.98906257,STANDING
0.27719877,-0.01009785,-0.10513725,-0.99733496,-0.99048681,-0.99542003,-0.028775508,-0.070393108,0.079012142,-0.9851808,-0.99211748,-0.98307675,0.077932436,0.018684046,0.0093444336,-0.9948136,-0.98871446,-0.99226635,-0.99665675,-0.9869395,-0.9927386,-0.9976438,-0.99226365,-0.99704592,-0.98489022,-0.99278621,-0.9807784,-0.98528707,-0.99165953,-0.9853661,-0.99429499,-0.99524897,-0.9858944,-0.98644027,STANDING
0.27945388,-0.019640776,-0.11002215,-0.99692104,-0.96718593,-0.98311783,-0.028600251,-0.083046734,0.095464555,-0.98817723,-0.98920571,-0.9791538,0.082170765,-0.01701467,-0.015798166,-0.99520561,-0.98483079,-0.98842507,-0.99584913,-0.96761161,-0.98412325,-0.99746125,-0.96792578,-0.98288731,-0.98602735,-0.99049909,-0.97845604,-0.98878814,-0.98840583,-0.9811471,-0.9874657,-0.98274603,-0.98550069,-0.98462525,STANDING
0.27743247,-0.030488303,-0.12536043,-0.99655926,-0.96672843,-0.98158533,-0.024200262,-0.07789261,0.094095607,-0.98910723,-0.98740324,-0.97851956,0.072364228,0.0087478559,-0.0044681354,-0.99527281,-0.98129122,-0.99033964,-0.99519276,-0.97429127,-0.98865193,-0.99727933,-0.96410195,-0.97807586,-0.98733016,-0.99001425,-0.98036083,-0.98960041,-0.9859172,-0.97968102,-0.97745766,-0.97599674,-0.98450563,-0.98683834,STANDING
0.27729342,-0.021750698,-0.12075082,-0.99732847,-0.96124532,-0.98367156,-0.024831025,-0.066401639,0.077862982,-0.99088198,-0.99289135,-0.98724152,0.075284365,0.030762704,0.01121195,-0.99647892,-0.98005127,-0.99666607,-0.99709991,-0.96820527,-0.99063224,-0.99736759,-0.95918148,-0.98005989,-0.98909792,-0.99196691,-0.98402803,-0.99137591,-0.99351595,-0.98962879,-0.98363087,-0.97751373,-0.98936978,-0.99091446,STANDING
0.28058569,-0.0099602983,-0.10606516,-0.99480344,-0.9727584,-0.98624387,-0.0234154,-0.070925683,0.078975843,-0.98493784,-0.98730376,-0.98084404,0.076369318,0.012518906,0.0030843751,-0.99115561,-0.9692003,-0.98861504,-0.99351933,-0.97031864,-0.98609566,-0.99538845,-0.97479378,-0.98653557,-0.98177767,-0.98800114,-0.97745298,-0.98586913,-0.9868624,-0.98378763,-0.98677197,-0.98670243,-0.98452436,-0.98026379,STANDING
